iter	Passed	Remaining
0	1	1622
1	2	1492
2	4	1467
3	5	1457
4	7	1396
5	8	1378
6	9	1385
7	11	1379
8	12	1367
9	14	1388
10	15	1385
11	17	1419
12	18	1414
13	20	1414
14	21	1418
15	22	1409
16	24	1398
17	25	1394
18	26	1386
19	28	1378
20	29	1365
21	30	1356
22	31	1352
23	33	1352
24	34	1351
25	35	1345
26	37	1338
27	37	1317
28	39	1311
29	40	1304
30	41	1300
31	42	1299
32	44	1295
33	45	1294
34	46	1289
35	47	1282
36	49	1277
37	50	1275
38	51	1276
39	52	1270
40	54	1270
41	55	1271
42	57	1269
43	58	1268
44	59	1266
45	60	1263
46	62	1262
47	63	1257
48	64	1254
49	65	1249
50	66	1245
51	68	1245
52	69	1243
53	71	1244
54	72	1240
55	73	1237
56	74	1235
57	76	1234
58	77	1231
59	78	1226
60	79	1224
61	80	1220
62	81	1215
63	83	1215
64	84	1212
65	85	1208
66	86	1204
67	87	1200
68	88	1198
69	89	1195
70	91	1192
71	92	1190
72	93	1187
73	94	1183
74	95	1181
75	96	1177
76	98	1175
77	99	1171
78	100	1168
79	101	1165
80	102	1162
81	103	1161
82	104	1157
83	105	1155
84	107	1153
85	108	1151
86	109	1150
87	110	1148
88	111	1146
89	113	1145
90	114	1144
91	115	1143
92	117	1142
93	118	1140
94	119	1139
95	120	1137
96	122	1137
97	123	1137
98	124	1136
99	126	1135
100	127	1134
101	128	1131
102	129	1131
103	131	1130
104	132	1127
105	133	1126
106	134	1125
107	136	1124
108	137	1122
109	138	1121
110	139	1119
111	140	1117
112	141	1114
113	143	1113
114	144	1111
115	145	1109
116	147	1109
117	148	1107
118	149	1106
119	150	1104
120	151	1102
121	152	1100
122	154	1099
123	155	1096
124	156	1095
125	157	1094
126	159	1093
127	160	1091
128	161	1089
129	162	1087
130	163	1085
131	165	1085
132	166	1085
133	167	1083
134	168	1081
135	169	1079
136	171	1077
137	172	1076
138	173	1074
139	174	1073
140	175	1072
141	177	1070
142	178	1069
143	179	1068
144	180	1066
145	182	1064
146	183	1062
147	184	1060
148	185	1058
149	186	1056
150	187	1055
151	188	1053
152	189	1051
153	191	1049
154	192	1048
155	194	1051
156	195	1050
157	197	1050
158	198	1048
159	199	1047
160	200	1045
161	201	1044
162	203	1042
163	204	1042
164	205	1040
165	206	1039
166	208	1038
167	209	1037
168	210	1035
169	211	1034
170	212	1032
171	214	1031
172	215	1031
173	217	1030
174	218	1028
175	219	1026
176	220	1025
177	222	1025
178	223	1023
179	224	1022
180	225	1020
181	227	1020
182	228	1019
183	229	1018
184	231	1018
185	232	1016
186	233	1014
187	234	1013
188	235	1011
189	236	1010
190	238	1008
191	239	1008
192	240	1006
193	242	1005
194	243	1003
195	244	1002
196	245	1001
197	247	1000
198	248	999
199	249	997
200	250	996
201	251	994
202	253	993
203	254	992
204	255	991
205	256	990
206	258	988
207	259	987
208	260	986
209	261	985
210	263	983
211	264	982
212	265	981
213	266	980
214	268	978
215	269	976
216	270	974
217	271	973
218	272	972
219	273	971
220	275	969
221	276	968
222	277	967
223	278	965
224	280	964
225	281	963
226	282	961
227	283	960
228	284	958
229	285	957
230	287	955
231	288	954
232	289	953
233	290	951
234	291	950
235	293	948
236	294	947
237	295	946
238	296	944
239	298	943
240	299	942
241	300	940
242	301	939
243	302	938
244	303	936
245	305	934
246	306	933
247	307	932
248	308	930
249	309	929
250	311	928
251	312	927
252	313	926
253	314	924
254	315	923
255	317	921
256	318	920
257	319	919
258	320	918
259	322	916
260	323	915
261	325	915
262	326	914
263	327	913
264	328	911
265	329	910
266	330	908
267	332	907
268	333	906
269	334	904
270	335	903
271	337	902
272	338	900
273	339	899
274	340	898
275	341	897
276	342	895
277	344	894
278	345	892
279	346	891
280	347	889
281	348	888
282	349	886
283	351	884
284	352	883
285	353	882
286	354	881
287	355	879
288	356	877
289	358	876
290	359	875
291	360	873
292	361	872
293	362	871
294	363	869
295	365	868
296	366	866
297	367	865
298	368	864
299	369	863
300	371	861
301	372	860
302	373	859
303	374	857
304	375	856
305	376	854
306	378	853
307	379	851
308	380	850
309	381	849
310	383	848
311	384	848
312	386	847
313	387	845
314	388	844
315	389	843
316	390	842
317	392	840
318	393	839
319	394	837
320	395	836
321	396	835
322	398	834
323	399	833
324	400	832
325	401	830
326	403	829
327	404	828
328	405	826
329	406	825
330	407	824
331	409	823
332	410	822
333	411	820
334	412	819
335	414	818
336	415	817
337	416	815
338	417	814
339	418	812
340	419	811
341	421	810
342	422	808
343	423	807
344	424	806
345	426	805
346	427	803
347	428	802
348	429	801
349	430	800
350	431	798
351	433	797
352	434	795
353	435	794
354	436	793
355	438	792
356	439	790
357	440	789
358	441	788
359	443	787
360	444	786
361	445	785
362	446	783
363	447	782
364	449	781
365	450	779
366	451	778
367	452	777
368	453	775
369	454	774
370	456	773
371	457	772
372	458	770
373	459	769
374	461	768
375	462	767
376	463	765
377	464	764
378	465	763
379	466	761
380	468	760
381	469	759
382	470	757
383	471	756
384	472	755
385	473	753
386	475	752
387	476	751
388	477	749
389	478	748
390	479	747
391	480	746
392	482	744
393	483	743
394	484	742
395	485	740
396	487	739
397	488	738
398	489	737
399	490	735
400	491	734
401	493	733
402	494	732
403	495	731
404	496	729
405	497	728
406	499	727
407	500	726
408	501	724
409	502	723
410	504	722
411	505	721
412	506	720
413	507	718
414	508	717
415	509	715
416	511	714
417	512	713
418	513	711
419	514	710
420	515	709
421	516	707
422	517	706
423	519	705
424	520	703
425	521	702
426	522	701
427	523	699
428	524	698
429	525	697
430	527	695
431	528	694
432	529	693
433	530	692
434	532	691
435	533	690
436	534	688
437	535	687
438	537	686
439	538	685
440	539	683
441	540	682
442	541	681
443	543	680
444	544	679
445	545	677
446	546	676
447	548	675
448	549	674
449	550	672
450	551	671
451	552	670
452	553	668
453	555	667
454	556	666
455	557	665
456	558	664
457	560	662
458	561	661
459	562	660
460	563	658
461	564	657
462	565	656
463	567	655
464	568	654
465	569	652
466	570	651
467	572	650
468	574	649
469	575	648
470	576	647
471	577	646
472	578	645
473	580	643
474	581	642
475	582	641
476	583	640
477	585	638
478	586	638
479	587	636
480	589	635
481	590	634
482	591	633
483	592	631
484	593	630
485	595	629
486	596	628
487	598	627
488	599	626
489	601	625
490	602	624
491	604	624
492	605	623
493	607	622
494	608	621
495	610	620
496	612	619
497	614	618
498	615	617
499	617	617
500	618	616
501	620	615
502	622	614
503	623	613
504	625	612
505	626	611
506	628	610
507	629	609
508	630	608
509	632	607
510	633	606
511	634	605
512	636	603
513	637	602
514	638	601
515	639	600
516	641	599
517	642	598
518	644	597
519	645	596
520	647	595
521	648	594
522	650	593
523	651	591
524	653	590
525	654	589
526	656	588
527	657	587
528	659	586
529	660	585
530	662	584
531	663	583
532	665	582
533	666	581
534	668	580
535	669	579
536	671	578
537	672	577
538	674	576
539	675	575
540	677	574
541	678	573
542	680	572
543	681	571
544	683	570
545	684	569
546	686	568
547	687	567
548	689	566
549	690	565
550	692	564
551	693	563
552	695	562
553	697	561
554	698	559
555	700	559
556	701	557
557	703	556
558	704	555
559	706	554
560	707	553
561	708	552
562	710	551
563	711	550
564	713	549
565	714	548
566	716	547
567	717	545
568	719	544
569	720	543
570	722	542
571	723	541
572	724	540
573	726	539
574	727	537
575	728	536
576	730	535
577	731	534
578	733	533
579	734	532
580	736	531
581	737	529
582	739	528
583	740	527
584	742	526
585	743	525
586	745	524
587	746	523
588	748	522
589	749	520
590	751	519
591	752	518
592	754	517
593	755	516
594	756	515
595	758	514
596	759	512
597	761	511
598	762	510
599	763	509
600	765	508
601	767	507
602	768	505
603	769	504
604	771	503
605	772	502
606	774	501
607	776	500
608	777	499
609	779	498
610	781	497
611	782	496
612	783	494
613	785	493
614	786	492
615	788	491
616	789	490
617	791	489
618	792	487
619	793	486
620	795	485
621	796	484
622	797	482
623	798	481
624	800	480
625	801	478
626	802	477
627	804	476
628	805	475
629	807	474
630	808	472
631	809	471
632	810	470
633	812	468
634	813	467
635	814	466
636	815	464
637	817	463
638	818	462
639	820	461
640	821	460
641	822	458
642	823	457
643	824	456
644	826	454
645	827	453
646	828	452
647	830	450
648	831	449
649	832	448
650	834	447
651	835	445
652	836	444
653	838	443
654	839	442
655	841	441
656	842	439
657	843	438
658	845	437
659	846	436
660	847	434
661	849	433
662	850	432
663	851	430
664	852	429
665	853	428
666	855	427
667	856	425
668	858	424
669	859	423
670	860	421
671	861	420
672	862	419
673	864	418
674	865	416
675	866	415
676	868	414
677	869	412
678	870	411
679	871	410
680	873	409
681	874	407
682	876	406
683	877	405
684	878	404
685	880	402
686	881	401
687	882	400
688	883	398
689	884	397
690	886	396
691	887	395
692	888	393
693	890	392
694	892	391
695	893	390
696	894	388
697	896	387
698	897	386
699	898	385
700	900	383
701	901	382
702	902	381
703	903	380
704	905	378
705	906	377
706	907	376
707	909	374
708	910	373
709	911	372
710	912	371
711	914	369
712	915	368
713	916	367
714	918	366
715	919	364
716	921	363
717	922	362
718	923	361
719	925	359
720	926	358
721	927	357
722	928	355
723	930	354
724	931	353
725	932	351
726	934	350
727	935	349
728	936	348
729	938	346
730	939	345
731	940	344
732	942	343
733	943	341
734	944	340
735	945	339
736	946	337
737	948	336
738	950	335
739	951	334
740	952	333
741	953	331
742	955	330
743	956	329
744	957	327
745	959	326
746	960	325
747	962	324
748	964	323
749	965	321
750	966	320
751	968	319
752	969	318
753	970	316
754	971	315
755	973	314
756	974	312
757	975	311
758	976	310
759	978	308
760	979	307
761	980	306
762	981	305
763	983	303
764	984	302
765	985	301
766	986	299
767	987	298
768	989	297
769	990	295
770	991	294
771	993	293
772	994	292
773	995	290
774	996	289
775	998	288
776	999	286
777	1000	285
778	1002	284
779	1003	283
780	1004	281
781	1006	280
782	1007	279
783	1009	278
784	1010	276
785	1011	275
786	1012	274
787	1014	272
788	1015	271
789	1016	270
790	1017	268
791	1019	267
792	1020	266
793	1021	265
794	1023	263
795	1024	262
796	1026	261
797	1027	260
798	1028	258
799	1029	257
800	1031	256
801	1032	254
802	1033	253
803	1035	252
804	1036	251
805	1037	249
806	1038	248
807	1040	247
808	1041	245
809	1042	244
810	1044	243
811	1045	242
812	1046	240
813	1048	239
814	1049	238
815	1050	236
816	1052	235
817	1053	234
818	1055	233
819	1056	231
820	1058	230
821	1059	229
822	1061	228
823	1062	226
824	1063	225
825	1065	224
826	1066	223
827	1067	221
828	1069	220
829	1070	219
830	1071	217
831	1073	216
832	1074	215
833	1075	214
834	1076	212
835	1078	211
836	1079	210
837	1081	209
838	1082	207
839	1083	206
840	1085	205
841	1086	203
842	1087	202
843	1088	201
844	1090	199
845	1091	198
846	1092	197
847	1093	196
848	1094	194
849	1096	193
850	1097	192
851	1098	190
852	1099	189
853	1100	188
854	1102	186
