iter	Logloss
0	0.6903895598
1	0.6871499282
2	0.6845440498
3	0.6810804514
4	0.6785001021
5	0.675685149
6	0.6731219658
7	0.6701688033
8	0.66727873
9	0.6644385411
10	0.6618333963
11	0.6596371577
12	0.6565180558
13	0.6535855073
14	0.6510367027
15	0.6484895119
16	0.64607877
17	0.6441481664
18	0.6415141179
19	0.6386887477
20	0.6365068876
21	0.6339900677
22	0.630992596
23	0.6289485051
24	0.6268515954
25	0.6238883092
26	0.621223303
27	0.6183501024
28	0.6164148771
29	0.6136833704
30	0.6116695404
31	0.6093891584
32	0.607323133
33	0.6047550348
34	0.6025391359
35	0.600511771
36	0.5974678993
37	0.5954979383
38	0.5935513056
39	0.5913545535
40	0.5891999832
41	0.5874045445
42	0.585133736
43	0.5829577813
44	0.5809852527
45	0.5792928842
46	0.5772437683
47	0.5753963177
48	0.5733119158
49	0.5715089945
50	0.5691947937
51	0.566784712
52	0.5646897096
53	0.5622191429
54	0.5605415198
55	0.5586278622
56	0.5564320638
57	0.5546288857
58	0.5519534991
59	0.5500379709
60	0.5477134264
61	0.5459709901
62	0.5440220466
63	0.5420554968
64	0.5397983698
65	0.5382262377
66	0.5364991702
67	0.53504445
68	0.5335328762
69	0.5319384061
70	0.5298255774
71	0.5280444072
72	0.5260305405
73	0.5246203863
74	0.5230586345
75	0.5211961453
76	0.5193781486
77	0.5177614505
78	0.5164580712
79	0.5148235468
80	0.5133129267
81	0.5117917794
82	0.5101826374
83	0.5087473209
84	0.5070865338
85	0.505243008
86	0.5037470231
87	0.502037892
88	0.5007362366
89	0.4992174735
90	0.4977809833
91	0.4957540219
92	0.4940659083
93	0.4920657965
94	0.4905598714
95	0.4893965354
96	0.4880554493
97	0.4868626961
98	0.4855104593
99	0.4842180472
100	0.4826065944
101	0.4814330248
102	0.4800773034
103	0.4786602901
104	0.4770542658
105	0.4760530178
106	0.4748687744
107	0.4739780793
108	0.4725146294
109	0.4714579215
110	0.4705643287
111	0.4690806315
112	0.4675915058
113	0.4658229901
114	0.4640962894
115	0.4627528191
116	0.4615022219
117	0.4596626575
118	0.4580816489
119	0.4569008534
120	0.4557308417
121	0.4545410596
122	0.453256497
123	0.4520210119
124	0.4507436386
125	0.4492449027
126	0.4477334756
127	0.446381899
128	0.4451416089
129	0.4441168858
130	0.4427447686
131	0.4413729448
132	0.4402692868
133	0.4394172155
134	0.4382820129
135	0.4371758608
136	0.4364516185
137	0.4351282487
138	0.4339292966
139	0.4324745032
140	0.4312912868
141	0.4302967512
142	0.4294472474
143	0.4286271609
144	0.4279052294
145	0.4264537371
146	0.4253924443
147	0.4243746537
148	0.4228240893
149	0.4220748314
150	0.4208800976
151	0.41998247
152	0.418728425
153	0.4177581714
154	0.4163978283
155	0.4150229234
156	0.4140776854
157	0.4131681736
158	0.4119144586
159	0.4107697193
160	0.409588447
161	0.4086261896
162	0.4071579713
163	0.4059859056
164	0.4047646523
165	0.4036959135
166	0.4026370415
167	0.4015673857
168	0.400732884
169	0.3999706415
170	0.3990015617
171	0.3982541378
172	0.3969166829
173	0.3958661006
174	0.3951197404
175	0.3940331752
176	0.3933684276
177	0.3921355834
178	0.3911663202
179	0.3900157122
180	0.3892191373
181	0.3881238057
182	0.3866077203
183	0.3856895887
184	0.3849697113
185	0.3840907904
186	0.3835184024
187	0.3826629932
188	0.3817914082
189	0.3808001738
190	0.3800019118
191	0.3790754538
192	0.3776503343
193	0.3760745709
194	0.3754921693
195	0.3747269557
196	0.373996808
197	0.3731523661
198	0.3723796698
199	0.3711055242
200	0.3702672078
201	0.3695271932
202	0.3685433314
203	0.3678148343
204	0.3672272609
205	0.3660915081
206	0.3653745651
207	0.3645756061
208	0.3639166539
209	0.3629893523
210	0.3621718333
211	0.3612807347
212	0.3605732918
213	0.3598866096
214	0.3589562636
215	0.3579172721
216	0.3571732961
217	0.3565979371
218	0.355933116
219	0.3552932372
220	0.354501871
221	0.3532373355
222	0.352306476
223	0.3514745052
224	0.3505962812
225	0.3495727686
226	0.3485172712
227	0.3479463137
228	0.3468117347
229	0.3458615083
230	0.3450783216
231	0.3442616096
232	0.3432547129
233	0.3427324295
234	0.3416600594
235	0.3407377463
236	0.3401458814
237	0.3394016119
238	0.3390702834
239	0.3382202295
240	0.3373377873
241	0.33691652
242	0.3359948672
243	0.3350537007
244	0.3344234687
245	0.3333674211
246	0.332523456
247	0.331960458
248	0.3313699869
249	0.3307881722
250	0.3301233879
251	0.3291967832
252	0.3283508741
253	0.3273711571
254	0.3265817716
255	0.3259985264
256	0.3249946741
257	0.3243556389
258	0.3235651163
259	0.3228412775
260	0.3219541403
261	0.3213396806
262	0.3207961596
263	0.3197512993
264	0.3193608798
265	0.3189292321
266	0.318012531
267	0.3174459017
268	0.3164563913
269	0.3159148876
270	0.3151916724
271	0.3146363405
272	0.3138055068
273	0.3129357191
274	0.3122799947
275	0.3116329266
276	0.3110910196
