iter	Passed	Remaining
0	8	8889
1	15	7872
2	22	7641
3	29	7327
4	35	7064
5	41	6801
6	47	6668
7	52	6565
8	58	6475
9	64	6431
10	71	6398
11	76	6321
12	83	6324
13	89	6282
14	95	6243
15	100	6171
16	105	6100
17	110	6027
18	115	5977
19	121	5955
20	127	5928
21	132	5893
22	137	5853
23	143	5824
24	148	5785
25	153	5756
26	159	5763
27	166	5763
28	171	5756
29	177	5738
30	182	5699
31	187	5666
32	192	5635
33	197	5603
34	203	5611
35	209	5616
36	215	5615
37	223	5645
38	229	5649
39	234	5636
40	239	5610
41	244	5586
42	250	5581
43	256	5566
44	261	5547
45	267	5548
46	272	5527
47	277	5503
48	283	5493
49	288	5474
50	293	5459
51	298	5449
52	304	5439
53	310	5439
54	316	5432
55	321	5417
56	326	5402
57	331	5391
58	336	5372
59	342	5359
60	347	5349
61	352	5339
62	358	5324
63	362	5306
64	367	5292
65	373	5280
66	378	5268
67	383	5255
68	389	5250
69	394	5239
70	399	5231
71	405	5225
72	410	5211
73	417	5223
74	422	5216
75	428	5207
76	434	5206
77	439	5195
78	444	5183
79	449	5173
80	454	5161
81	460	5154
82	466	5148
83	471	5141
84	477	5141
85	483	5133
86	488	5125
87	494	5119
88	499	5110
89	504	5103
90	510	5094
91	515	5085
92	520	5075
93	526	5073
94	532	5069
95	538	5071
96	543	5063
97	549	5057
98	554	5048
99	559	5038
100	564	5028
101	569	5017
102	574	5006
103	579	4995
104	584	4986
105	589	4975
106	595	4966
107	600	4957
108	605	4950
109	610	4942
110	616	4937
111	621	4929
112	627	4927
113	632	4919
114	637	4908
115	643	4900
116	648	4896
117	654	4894
118	660	4889
119	665	4878
120	670	4868
121	675	4863
122	681	4855
123	686	4849
124	691	4842
125	697	4836
126	702	4829
127	707	4821
128	712	4811
129	717	4802
130	722	4793
131	728	4790
132	733	4783
133	738	4774
134	743	4765
135	749	4764
136	754	4755
137	760	4749
138	766	4748
139	771	4740
140	777	4735
141	782	4728
142	788	4724
143	793	4718
144	799	4715
145	805	4711
146	810	4704
147	816	4699
148	821	4692
149	827	4690
150	833	4686
151	839	4681
152	844	4676
153	849	4667
154	854	4660
155	860	4655
156	865	4649
157	871	4643
158	877	4643
159	884	4645
160	890	4640
161	895	4632
162	900	4626
163	906	4621
164	911	4614
165	917	4608
166	922	4603
167	927	4595
168	933	4587
169	938	4581
170	943	4575
171	949	4568
172	954	4562
173	959	4555
174	964	4548
175	970	4541
176	975	4535
177	980	4527
178	985	4520
179	991	4515
180	996	4506
181	1001	4500
182	1006	4494
183	1011	4487
184	1016	4479
185	1021	4470
186	1026	4464
187	1032	4457
188	1037	4453
189	1043	4450
190	1049	4445
191	1054	4439
192	1059	4431
193	1064	4424
194	1070	4420
195	1075	4413
196	1080	4405
197	1085	4397
